"time","I.re","I.im"
0.877,9.9998086979479307e-06,2.5835058379731264e-10
0.87720000000000009,9.9998087015324674e-06,2.583614518278553e-10
0.87740000000000007,9.9998087048915087e-06,2.5837220287092862e-10
0.87760000000000005,9.9998087081299308e-06,2.5838277548829583e-10
0.87780000000000002,9.9998087116176652e-06,2.583940975282879e-10
0.878,9.9998087146449813e-06,2.5840477381464246e-10
0.87820000000000009,9.9998087180174023e-06,2.5841533642214694e-10
0.87840000000000007,9.9998087214337301e-06,2.5842642044804939e-10
0.87860000000000005,9.9998087245862648e-06,2.5843726365418863e-10
0.87880000000000003,9.9998087279643525e-06,2.5844820088626045e-10
0.879,9.99980873121599e-06,2.5845898514339681e-10
0.87920000000000009,9.9998087349038427e-06,2.5846969458321897e-10
0.87940000000000007,9.999808737891272e-06,2.5848017443353821e-10
0.87960000000000005,9.9998087413147555e-06,2.584913248618777e-10
0.87980000000000003,9.9998087445042446e-06,2.58502241894148e-10
0.88,9.9998087478427063e-06,2.5851310670540535e-10
0.88020000000000009,9.9998087512381192e-06,2.5852386068580809e-10
0.88040000000000007,9.9998087543615939e-06,2.5853447605668975e-10
0.88060000000000005,9.9998087578437802e-06,2.5854521902850812e-10
0.88080000000000003,9.9998087613010638e-06,2.5855629469430023e-10
0.88100000000000001,9.9998087641371672e-06,2.5856711101390549e-10
0.88120000000000009,9.9998087677319852e-06,2.5857791384807207e-10
0.88140000000000007,9.9998087710549243e-06,2.5858871950899833e-10
0.88160000000000005,9.9998087744349788e-06,2.5859936193209018e-10
0.88180000000000003,9.9998087777269537e-06,2.5861044276853711e-10
0.88200000000000001,9.99980878092998e-06,2.5862089583654206e-10
0.8822000000000001,9.9998087841503975e-06,2.5863202478238831e-10
0.88240000000000007,9.999808787555226e-06,2.5864265285496349e-10
0.88260000000000005,9.9998087906836457e-06,2.5865373921828883e-10
0.88280000000000003,9.9998087942287767e-06,2.586641365774135e-10
0.88300000000000001,9.9998087975844383e-06,2.5867512993635155e-10
0.8832000000000001,9.9998088009064948e-06,2.5868576651811022e-10
0.88340000000000007,9.9998088043540154e-06,2.5869665830190093e-10
0.88360000000000005,9.9998088074347234e-06,2.5870736369808221e-10
0.88380000000000003,9.999808810704235e-06,2.5871844923654304e-10
0.88400000000000001,9.9998088140806235e-06,2.5872907236992859e-10
0.8842000000000001,9.9998088175737721e-06,2.5873984199243717e-10
0.88440000000000007,9.9998088206489524e-06,2.5875079708717013e-10
0.88460000000000005,9.99980882405486e-06,2.5876158841174818e-10
0.88480000000000003,9.9998088270112421e-06,2.5877201440677709e-10
0.88500000000000001,9.9998088304096281e-06,2.5878321351872959e-10
0.8852000000000001,9.9998088341632699e-06,2.5879384316517708e-10
0.88540000000000008,9.9998088376393796e-06,2.588049403172871e-10
0.88560000000000005,9.9998088404819645e-06,2.5881549652365338e-10
0.88580000000000003,9.999808843648665e-06,2.5882619408539418e-10
0.88600000000000001,9.9998088470880135e-06,2.5883709586303516e-10
0.88619999999999999,9.999808850648818e-06,2.5884789870794507e-10
0.88640000000000008,9.9998088538781989e-06,2.5885847729629474e-10
0.88660000000000005,9.9998088575223108e-06,2.5886945841335822e-10
0.88680000000000003,9.999808860485188e-06,2.5888006182333861e-10
0.88700000000000001,9.9998088636735606e-06,2.5889087926446409e-10
0.88719999999999999,9.9998088671266581e-06,2.5890190459457346e-10
0.88740000000000008,9.9998088705217813e-06,2.5891284323479176e-10
0.88760000000000006,9.9998088736717156e-06,2.5892317255378369e-10
0.88780000000000003,9.999808877438444e-06,2.5893420275523889e-10
0.88800000000000001,9.9998088806747469e-06,2.5894445084224244e-10
0.88819999999999999,9.9998088836929455e-06,2.5895555257988031e-10
0.88840000000000008,9.9998088873046364e-06,2.5896637376231474e-10
0.88860000000000006,9.9998088906554326e-06,2.5897711714946681e-10
0.88880000000000003,9.999808893784784e-06,2.5898796247208599e-10
0.88900000000000001,9.9998088970960696e-06,2.5899879044823875e-10
0.88919999999999999,9.9998089003995709e-06,2.590095771831207e-10
0.88940000000000008,9.9998089039110273e-06,2.590201854948212e-10
0.88960000000000006,9.9998089071391664e-06,2.5903111361749498e-10
0.88980000000000004,9.999808910183081e-06,2.5904161873113839e-10
0.89000000000000001,9.999808913691383e-06,2.5905275266146923e-10
0.89019999999999999,9.9998089171636997e-06,2.5906326627386941e-10
0.89040000000000008,9.9998089202767609e-06,2.5907409083683705e-10
0.89060000000000006,9.9998089237450898e-06,2.5908489799486519e-10
0.89080000000000004,9.9998089270080843e-06,2.590958389475827e-10
0.89100000000000001,9.9998089302831897e-06,2.5910636204434552e-10
0.89119999999999999,9.9998089337603616e-06,2.591168138949413e-10
